商品,商品價格,販售商城,商品網址,圖片網址
[Versace] iPhone 12 Pro lanyard case,"10,150",Farfetch,https://www.farfetch.com/tw/shopping/men/versace-iphone-12-pro-lanyard-case-item-16257727.aspx?storeid=10904,https://img.feebee.com.tw/ip/200/pjP8Q98UnruRs62JbfnLaXzyEe5QWBmCHk61_yVKmWY=/https://cdn-images.farfetch-contents.com/16/25/77/27/16257727_32337490_480.jpg
CD播放機HDMI DVD機U盤iphone12/x/8底座藍芽音響胎教機【快速出貨】,"10,503",Yahoo奇摩超級商城-夢幻小鎮,https://tw.mall.yahoo.com/item/p0915224517368?_co=pfeeW_150701_01_PGqbJVgmbAACRdul6E6PEQw%3D%3D.92,https://img.feebee.com.tw/ip/200/zVv-EoGtKl8F5ImLmC721zd6lgV0HQjzfkMPz599a88=/https://s.yimg.com/ut/api/res/1.2/.FuzthzPCwott8kJvCY4YQ--~B/dz02MDA7aD02MDA7cT0xMDA7Zmk9Zml0O3NzPTEuMDthcHBpZD15dHdtYWxs/https://s.yimg.com/fy/29a1/item/p0915224517368-item-2954xf4x0750x0750-m.jpg
Rosantica 亮鑽鍊條透明手機殼-iphone12/12PRO,"11,080",誠品線上,https://www.eslite.com/product/1004328202682006731003?utm_source=feebee&utm_medium=cpa&utm_campaign=feebee,https://img.feebee.com.tw/ip/200/i-n2GHKrRzxdxsROf2RL-SAtoMjW9WbWDcluqnczIgo=/https://s.eslite.dev/upload/product/m/2682006731003/20210421033917844684.jpg
Rosantica 亮鑽鍊條透明手機殼-iphone12 PRO MAX,"11,080",誠品線上,https://www.eslite.com/product/1004328202682006730006?utm_source=feebee&utm_medium=cpa&utm_campaign=feebee,https://img.feebee.com.tw/ip/200/lf3nj7HfDoGRNy5QonHUmxMzurr09fNV-0fjUMmaN2o=/https://s.eslite.dev/upload/product/m/2682006730006/20210421033915093682.jpg
Apple iPhone 12 64G 6.1吋 攜碼 台哥大 遠傳 搭配門號專案價 【吉盈數位商城】,"11,100",樂天市場購物網-吉盈數位商城,https://affiliate.api.rakuten.com.tw/redirect?nw=tw&site=afl&ar=1a0d8dccecb7dbb3e661d9ea76b24b5b3cc271130acbc8f83d8fecbdc9eefc6a9951df4322d2499b&pr=0f4e0c3dd849229d&ap=pr%3D0f4e0c3dd849229d&e=1&url=https%3A%2F%2Fwww.rakuten.com.tw%2Fshop%2Fchiying%2Fproduct%2FYDAVBCX4G%3Fscid%3Drafp-f133%26gid%3DPGqbJVgmbAACRdul6E6PEQw%253D%253D.9u%26utm_source%3Dfeebee%26utm_medium%3Drafp-f133%26utm_campaign%3Dnormal,https://img.feebee.com.tw/ip/200/OhOVZfjq4lT6_vPyZXfNwyAhecm4ddGxImUj6mJ4Y9E=/https://tshop.r10s.com/fef/b3d/badc/2f5b/b012/aa6b/5493/11e1ebb9d00242ac110003.jpg
Apple iPhone 12 mini 128G 5.4吋 攜碼 台哥大 遠傳 搭配門號專案價 【吉盈數位商城】,"11,300",樂天市場購物網-吉盈數位商城,https://affiliate.api.rakuten.com.tw/redirect?nw=tw&site=afl&ar=1a0d8dccecb7dbb3e661d9ea76b24b5b3cc271130acbc8f83d8fecbdc9eefc6a9951df4322d2499b&pr=0f4e0c3dd849229d&ap=pr%3D0f4e0c3dd849229d&e=1&url=https%3A%2F%2Fwww.rakuten.com.tw%2Fshop%2Fchiying%2Fproduct%2FG4FP36CJV%3Fscid%3Drafp-f133%26gid%3DPGqbJVgmbAACRdul6E6PEQw%253D%253D.90%26utm_source%3Dfeebee%26utm_medium%3Drafp-f133%26utm_campaign%3Dnormal,https://img.feebee.com.tw/ip/200/kh5tdml8gAEY00tyEHNvHuMQIRWxAYjRmy8pUaLYQv0=/https://tshop.r10s.com/659/c51/1ad0/5f5d/407a/31cb/541d/114aebb00a0242ac110005.jpg
HOBOT玻妞擦玻璃機器人HOBOT-388【贈清潔布組+登入抽iPhone12】【領券現折1000+蝦幣10倍回饋】,"11,400",蝦皮商城-滾來福生活館,https://shopee.tw/product/67992686/5941809363?utm_source=an_16142330000&utm_medium=affiliates&utm_campaign=-&utm_content=PGqbJVgmbAACRdul6E6PEQw%3D%3D.9T-feebee---,https://img.feebee.com.tw/ip/200/xxGNqYvLi6ZoYa6dpUzW_PPxrZaUev8TvfhRcTP_0vo=/http://cf.shopee.tw/file/c3b3949f728a021bf76486f9f613e3f1
[Rosantica] crystal embellished iPhone 12 Pro Max case,"11,400",Farfetch,https://www.farfetch.com/tw/shopping/women/rosantica-crystal-embellished-iphone-12-pro-max-case-item-16643103.aspx?storeid=10125,https://img.feebee.com.tw/ip/200/JpGD54ylAxjurZt-tiFmgVvoXIyqd9nXaXoaTWj8YCM=/https://cdn-images.farfetch-contents.com/16/64/31/03/16643103_32756695_480.jpg
Rosantica 珍珠背帶透明手機殼-iphone12/12PRO,"11,580",誠品線上,https://www.eslite.com/product/1004328202682006763004?utm_source=feebee&utm_medium=cpa&utm_campaign=feebee,https://img.feebee.com.tw/ip/200/UtcSHbSvCeMyVdtRTej8PiTod-0H9ASSoKgcPoaD1Vg=/https://s.eslite.dev/upload/product/m/2682006763004/20210421033923316690.jpg
Rosantica 珍珠背帶透明手機殼-iphone12 PRO MAX,"11,580",誠品線上,https://www.eslite.com/product/1004328202682006732000?utm_source=feebee&utm_medium=cpa&utm_campaign=feebee,https://img.feebee.com.tw/ip/200/is6-CETr3_XT6XfyPujjrandzWgnBRHdG09QGWhcOSo=/https://s.eslite.dev/upload/product/m/2682006732000/20210421033920352686.jpg
HOBOT 玻妞擦玻璃機器人HOBOT-298【上網登入週週抽IPhone12 128G】,"11,800",蝦皮商城-ANOCOM,https://shopee.tw/product/12759722/6331113983?utm_source=an_16142330000&utm_medium=affiliates&utm_campaign=-&utm_content=PGqbJVgmbAACRdul6E6PEQw%3D%3D.9M-feebee---,https://img.feebee.com.tw/ip/200/2wljw9ud8xfkkHUNkaX-r30T9AqsRlkwjJDYqkFk_z0=/http://cf.shopee.tw/file/b069014bb369428ad77efdafd0f529b2
Apple iPhone 12 128G 6.1吋 攜碼 台哥大 遠傳 搭配門號專案價 【吉盈數位商城】,"13,700",樂天市場購物網-吉盈數位商城,https://affiliate.api.rakuten.com.tw/redirect?nw=tw&site=afl&ar=1a0d8dccecb7dbb3e661d9ea76b24b5b3cc271130acbc8f83d8fecbdc9eefc6a9951df4322d2499b&pr=0f4e0c3dd849229d&ap=pr%3D0f4e0c3dd849229d&e=1&url=https%3A%2F%2Fwww.rakuten.com.tw%2Fshop%2Fchiying%2Fproduct%2FQFFNLRWSA%3Fscid%3Drafp-f133%26gid%3DPGqbJVgmbAACRdul6E6PEQw%253D%253D.9R%26utm_source%3Dfeebee%26utm_medium%3Drafp-f133%26utm_campaign%3Dnormal,https://img.feebee.com.tw/ip/200/OhOVZfjq4lT6_vPyZXfNwyAhecm4ddGxImUj6mJ4Y9E=/https://tshop.r10s.com/fef/b3d/badc/2f5b/b012/aa6b/5493/11e1ebb9d00242ac110003.jpg
[Versace] Medusa-embellished iPhone 12 Pro case,"14,500",Farfetch,https://www.farfetch.com/tw/shopping/men/versace-medusa-embellished-iphone-12-pro-case-item-16260075.aspx?storeid=11922,https://img.feebee.com.tw/ip/200/jIp2f3TF2gn9Uji7NHoY4JTtnsghOCeAcmPb-zjfa0I=/https://cdn-images.farfetch-contents.com/16/26/00/75/16260075_31558033_480.jpg
iPhone 12 mini 64G-F(白)-4級,"14,500",亞太電信,https://eshop.aptg.com.tw/planslist?q=JTdCJTIydGVybWluYWxDb2RlJTIyJTNBIklQMTA0IiUyQyUyMnByb2RJZCUyMiUzQTE0OTgwNSUyQyUyMnRhZ1R5cGUlMjIlM0ElMjIxJTIyJTJDJTIydGFnSWQlMjIlM0ElMjI3MDElMjIlMkMlMjJ1c2VkJTIyJTNBZmFsc2UlN0Q%3D&utm_source=feebee&utm_medium=cpc,https://img.feebee.com.tw/ip/200/T65uuRKOQ1rY3N6Jw-Pd1PoqPDLjolGI0BdTgCvG0OQ=/https://eshop.aptg.com.tw/images/prod/0/9/C/9/09C94D3F-2E2A-49A8-AEB6-3F099B269A5C_1_big.jpg
[Versace] Medusa-embellished iPhone 12 Pro case,"14,500",Farfetch,https://www.farfetch.com/tw/shopping/men/versace-medusa-embellished-iphone-12-pro-case-item-16260075.aspx?storeid=11282,https://img.feebee.com.tw/ip/200/jIp2f3TF2gn9Uji7NHoY4JTtnsghOCeAcmPb-zjfa0I=/https://cdn-images.farfetch-contents.com/16/26/00/75/16260075_31558033_480.jpg
HOBOT 玻妞-雷姬拖地機器人LEGEE7【登入週週抽iPhone12】【蝦幣10倍回饋】【贈耗材、清潔布、清潔劑】,"14,800",蝦皮商城-滾來福生活館,https://shopee.tw/product/67992686/7666981537?utm_source=an_16142330000&utm_medium=affiliates&utm_campaign=-&utm_content=PGqbJVgmbAACRdul6E6PEQw%3D%3D.9z-feebee---,https://img.feebee.com.tw/ip/200/bJF2YdPIoEm9cgSzGDiyQ3w4TgZEVcjYrrnZva4-5xg=/http://cf.shopee.tw/file/1ee64abaad0422d7ea1c83b0ab68595f
Apple iPhone 12 mini 64G,"15,000",皇家生活網通,https://royallife.com.tw/product/apple-iphone-12-mini-64g/?p=19563&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/vgD9pPQ-OLUh-_UuHKPGKgaibN_zhpXLrDP-FH47fMU=/https://royallife.com.tw/wp-content/uploads/2020/10/4654654.jpg
Apple iPhone 12 mini 256G 5.4吋 攜碼 台哥大 遠傳 搭配門號專案價 【吉盈數位商城】,"15,500",樂天市場購物網-吉盈數位商城,https://affiliate.api.rakuten.com.tw/redirect?nw=tw&site=afl&ar=1a0d8dccecb7dbb3e661d9ea76b24b5b3cc271130acbc8f83d8fecbdc9eefc6a9951df4322d2499b&pr=0f4e0c3dd849229d&ap=pr%3D0f4e0c3dd849229d&e=1&url=https%3A%2F%2Fwww.rakuten.com.tw%2Fshop%2Fchiying%2Fproduct%2FZR6E68S22%3Fscid%3Drafp-f133%26gid%3DPGqbJVgmbAACRdul6E6PEQw%253D%253D.9d%26utm_source%3Dfeebee%26utm_medium%3Drafp-f133%26utm_campaign%3Dnormal,https://img.feebee.com.tw/ip/200/kh5tdml8gAEY00tyEHNvHuMQIRWxAYjRmy8pUaLYQv0=/https://tshop.r10s.com/659/c51/1ad0/5f5d/407a/31cb/541d/114aebb00a0242ac110005.jpg
Hermès Bolduc 皮革保護殼，支援 MagSafe (適用於 iPhone 12|12 Pro) -,"16,050",Apple台灣,https://apple.sjv.io/c/1321622/441497/7644?prodsku=HPLR2ZM%2FA&u=https%3A%2F%2Fwww.apple.com%2Ftw%2Fshop%2Fgo%2Fproduct%2FHPLR2&intsrc=CATF_2808,https://img.feebee.com.tw/ip/200/Amn3PJ0O0SBiKpvmi33-Y_ffCfopWaXLgXN6koiWXPo=/https://store.storeimages.cdn-apple.com/8756/as-images.apple.com/is/HPLR2?wid=600&hei=600&.v=1619030233000.png
Apple iPhone 12 mini 128G,"16,500",皇家生活網通,https://royallife.com.tw/product/apple-iphone-12-mini-128g/?p=19556&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/vgD9pPQ-OLUh-_UuHKPGKgaibN_zhpXLrDP-FH47fMU=/https://royallife.com.tw/wp-content/uploads/2020/10/4654654.jpg
Apple iPhone 12 64G,"16,700",皇家生活網通,https://royallife.com.tw/product/iphone-12-64g/?p=19519&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/vgD9pPQ-OLUh-_UuHKPGKgaibN_zhpXLrDP-FH47fMU=/https://royallife.com.tw/wp-content/uploads/2020/10/4654654.jpg
Apple iPhone 12 256G 6.1吋 攜碼 台哥大 遠傳 搭配門號專案價 【吉盈數位商城】,"17,000",樂天市場購物網-吉盈數位商城,https://affiliate.api.rakuten.com.tw/redirect?nw=tw&site=afl&ar=1a0d8dccecb7dbb3e661d9ea76b24b5b3cc271130acbc8f83d8fecbdc9eefc6a9951df4322d2499b&pr=0f4e0c3dd849229d&ap=pr%3D0f4e0c3dd849229d&e=1&url=https%3A%2F%2Fwww.rakuten.com.tw%2Fshop%2Fchiying%2Fproduct%2FP7MI5V3RH%3Fscid%3Drafp-f133%26gid%3DPGqbJVgmbAACRdul6E6PEQw%253D%253D.9h%26utm_source%3Dfeebee%26utm_medium%3Drafp-f133%26utm_campaign%3Dnormal,https://img.feebee.com.tw/ip/200/OhOVZfjq4lT6_vPyZXfNwyAhecm4ddGxImUj6mJ4Y9E=/https://tshop.r10s.com/fef/b3d/badc/2f5b/b012/aa6b/5493/11e1ebb9d00242ac110003.jpg
福利品_Apple iPhone 12 mini 64G - 九成新,"18,000",ETMall東森購物網,https://www.etmall.com.tw/i/3043782?Store=107378&Cate=112800&utm_source=sitetag&utm_medium=sitetag_cpa&utm_campaign=feebee_PGqbJVgmbAACRdul6E6PEQw%3D%3D.9i_2021052623,https://img.feebee.com.tw/ip/200/ARleLntqTVDgTH3MuKjn4RwTg9YQN5-oElvU9ebe7QY=/https://media.etmall.com.tw/NXimg/003043/3043782/3043782_XL.jpg?t=18045803823
福利品_Apple iPhone 12 mini 64G - 九成新,"18,000",森森購物網,https://www.u-mall.com.tw/i/3043782?Store=31132&Cate=111702&utm_source=sitetag&utm_medium=sitetag_cpa&utm_campaign=feebee_PGqbJVgmbAACRdul6E6PEQw%3D%3D.19_2021052623,https://img.feebee.com.tw/ip/200/Wu1p99VQpA-yo2-WvE5DbwIcdmJ6P0xcYW7bORQbm_s=/https://media.u-mall.com.tw/NXimg/003043/3043782/3043782_XL.jpg?t=18045803823
iPhone 12 128G-F(綠)-2級,"18,800",亞太電信,https://eshop.aptg.com.tw/planslist?q=JTdCJTIydGVybWluYWxDb2RlJTIyJTNBIklQMTA4IiUyQyUyMnByb2RJZCUyMiUzQTE0OTgxMSUyQyUyMnRhZ1R5cGUlMjIlM0ElMjIxJTIyJTJDJTIydGFnSWQlMjIlM0ElMjI3MDElMjIlMkMlMjJ1c2VkJTIyJTNBZmFsc2UlN0Q%3D&utm_source=feebee&utm_medium=cpc,https://img.feebee.com.tw/ip/200/cuWkKW-gytJt2reoU4DhurWpHXLfoeMHNxLR4Jm0JS4=/https://eshop.aptg.com.tw/images/prod/5/6/3/5/563521A4-14D3-4CE0-BA22-23FB804E5FC6_1_big.jpg
Apple iPhone 12 PRO 128G 6.1吋 攜碼 台哥大 遠傳 搭配門號專案價 【吉盈數位商城】,"19,000",樂天市場購物網-吉盈數位商城,https://affiliate.api.rakuten.com.tw/redirect?nw=tw&site=afl&ar=1a0d8dccecb7dbb3e661d9ea76b24b5b3cc271130acbc8f83d8fecbdc9eefc6a9951df4322d2499b&pr=0f4e0c3dd849229d&ap=pr%3D0f4e0c3dd849229d&e=1&url=https%3A%2F%2Fwww.rakuten.com.tw%2Fshop%2Fchiying%2Fproduct%2F5IUCBDTQ9%3Fscid%3Drafp-f133%26gid%3DPGqbJVgmbAACRdul6E6PEQw%253D%253D.1r%26utm_source%3Dfeebee%26utm_medium%3Drafp-f133%26utm_campaign%3Dnormal,https://img.feebee.com.tw/ip/200/f812HAj5Lz1HRzv-vmdW-zzhYp0ccmGCVeeO0fOivRk=/https://tshop.r10s.com/cb2/d31/d7de/01f9/80a9/1bc7/49ad/11bdeb82f60242ac110006.jpg
Apple iPhone 12 mini 64G 綠 A2399 手機 狀況好僅拆封福利品 內文有實圖及商品,"19,300",蝦皮商城-【E-MAN】電氣男數位購物商城,https://shopee.tw/product/9152390/8938055694?utm_source=an_16142330000&utm_medium=affiliates&utm_campaign=-&utm_content=PGqbJVgmbAACRdul6E6PEQw%3D%3D.1j-feebee---,https://img.feebee.com.tw/ip/200/yrmbK8796eQP1aLt4-NODfGVZ0ZGEfyDI71wEAdfOmo=/http://cf.shopee.tw/file/4d5874d58e546fd3eeeb112133629385
Apple iPhone 12 mini (64G)-紅色(MGE03TA/A),"19,319",PChome24h購物,https://24h.pchome.com.tw/prod/DGAV0M-A900BBTBZ,https://img.feebee.com.tw/ip/200/kS4-ljaEu2pBBthe2Hifg9gHJkmdodcaRxseCYItmo8=/https://d.ecimg.tw/items/DYAJ21A900AX8J5/000001_1603871253.jpg
【福利品】Apple iPhone 12 mini 64G 5.4吋智慧型手機,"19,960",PChome24h購物,https://24h.pchome.com.tw/prod/DYAX1E-A900BBF2V,https://img.feebee.com.tw/ip/200/uPC2neDy0-OU0JviqTioY4W1r00lCw6JsFOTdMlKDy0=/https://d.ecimg.tw/items/DYAX1EA900BBF2V/000001_1620037344.jpg
